2	49	4	1	Y
202	49	1	2	Y
402	35	3	1	Y
602	77	1	2	N
802	72	4	2	Y
1002	21	4	2	N
1202	52	2	1	N
1402	72	2	2	Y
1602	61	3	1	Y
1802	63	4	2	Y
2002	59	3	1	Y
2202	38	2	1	Y
2402	66	2	2	Y
2602	29	4	2	Y
2802	60	3	2	N
3002	69	4	2	Y
3202	24	4	2	N
3402	72	1	1	N
3602	32	1	1	Y
3802	70	3	2	Y
4002	24	1	2	N
4202	58	1	2	N
4402	65	2	2	N
4602	46	4	1	Y
4802	32	1	1	Y
5002	52	1	2	N
5202	75	4	2	N
5402	70	3	1	Y
5602	19	1	1	N
5802	47	4	1	Y
6002	59	3	2	N
6202	70	3	2	N
6402	29	1	1	N
6602	76	1	1	N
6802	50	2	1	Y
7002	69	2	1	Y
7202	73	2	2	Y
7402	42	4	2	N
7602	50	1	1	Y
7802	50	3	2	N
8002	25	2	1	N
8202	20	2	1	Y
8402	32	1	2	N
8602	40	2	2	N
8802	44	2	2	N
9002	25	3	2	Y
9202	59	2	1	N
9402	22	2	2	Y
9602	52	2	1	N
9802	37	4	1	Y
10002	54	2	2	Y
10202	38	2	2	N
10402	68	4	2	Y
10602	29	1	2	Y
10802	45	1	2	Y
11002	50	4	1	Y
11202	52	1	2	Y
11402	33	4	2	Y
11602	72	4	2	N
11802	66	2	1	Y
12002	38	4	1	Y
12202	45	3	2	N
12402	57	2	1	Y
12602	31	3	1	N
12802	65	2	2	Y
13002	22	2	2	Y
13202	33	4	2	Y
13402	57	2	1	N
13602	19	2	1	N
13802	43	4	2	N
14002	65	1	1	N
14202	66	1	2	Y
14402	36	4	1	Y
14602	38	4	1	N
14802	41	2	2	N
15002	22	3	1	Y
15202	51	3	1	N
15402	71	4	2	N
15602	18	3	1	N
15802	38	2	1	N
16002	27	1	1	N
16202	55	1	2	N
16402	37	2	2	N
16602	24	2	1	N
16802	72	3	1	N
17002	24	4	2	N
17202	77	4	1	N
17402	55	4	1	Y
17602	64	1	2	N
17802	21	4	1	N
18002	58	2	1	N
18202	41	4	1	N
18402	53	3	2	N
18602	61	3	2	N
18802	56	1	1	N
19002	35	4	1	Y
19202	66	1	2	Y
19402	60	2	1	N
19602	26	2	1	Y
19802	57	1	1	N
