2	49	4	1	Y
204	37	2	1	N
407	70	2	1	Y
603	60	1	1	N
803	56	2	1	Y
1003	68	4	1	Y
1203	55	2	1	Y
1403	60	2	1	Y
1603	63	1	1	N
1803	58	2	1	Y
2008	40	4	1	N
2204	42	4	1	N
2403	23	3	1	N
2604	27	2	1	N
2803	20	2	1	N
3006	26	4	1	N
3203	66	2	1	Y
3403	38	3	1	Y
3607	33	3	1	N
3804	38	2	1	N
4005	58	1	1	Y
4204	64	2	1	Y
4404	22	1	1	N
4606	43	3	1	Y
4804	62	1	1	N
5003	77	2	1	N
5203	34	3	1	N
5404	60	2	1	Y
5603	38	1	1	Y
5803	71	4	1	N
6003	39	3	1	Y
6206	62	4	1	Y
6403	64	1	1	Y
6603	62	3	1	Y
6803	53	4	1	Y
7005	50	3	1	N
7203	32	1	1	N
7411	69	3	1	Y
7604	44	3	1	Y
7806	36	2	1	Y
8006	76	3	1	N
8203	41	1	1	Y
8404	40	2	1	N
8603	59	2	1	Y
15117	71	2	1	N
15534	61	1	1	N
15932	43	1	1	Y
16339	40	3	1	Y
16728	28	2	1	N
17107	18	1	1	Y
8754	45	4	2	Y
9180	20	2	2	N
9578	47	3	2	Y
9981	29	1	2	N
10363	68	2	2	Y
10757	57	2	2	Y
11192	44	3	2	Y
11568	35	3	2	N
11978	53	1	2	N
12383	59	2	2	N
12766	31	4	2	N
13155	71	1	2	Y
13542	39	2	2	N
13912	76	3	2	Y
14308	55	2	2	Y
14675	36	3	2	N
15072	65	3	2	Y
15463	60	4	2	Y
15847	74	2	2	Y
16244	39	3	2	N
16666	35	3	2	Y
17085	73	2	2	Y
28	19	4	2	Y
422	22	3	2	N
817	65	1	2	Y
1228	44	4	2	N
1630	71	2	2	Y
2033	21	2	2	N
2451	49	4	2	N
2828	40	3	2	N
3209	38	2	2	Y
3580	46	4	2	Y
3992	24	2	2	Y
4367	20	2	2	N
4749	25	3	2	Y
5185	32	3	2	Y
5587	68	3	2	Y
6006	29	4	2	N
6412	38	1	2	Y
6819	33	1	2	Y
7225	34	1	2	Y
7629	42	4	2	Y
8032	54	3	2	N
8452	42	2	2	Y
17579	47	3	2	N
18027	58	1	2	N
18427	18	2	2	Y
18844	45	4	2	Y
19254	41	4	2	Y
19618	52	2	2	Y
