8125	62	2	2	N
19771	38	2	2	Y
5870	52	2	1	Y
12613	26	2	2	Y
18058	24	2	1	N
15039	31	2	1	Y
13438	47	2	1	Y
14088	26	2	1	N
16614	61	2	1	N
12184	72	2	1	Y
5356	68	2	2	Y
5171	24	2	2	Y
10095	66	2	2	Y
2219	57	2	1	Y
19443	22	2	1	Y
9055	47	2	1	N
12057	33	2	1	N
15020	26	2	1	N
5760	30	2	2	N
2606	58	2	2	N
10682	69	2	1	N
10965	72	2	1	N
3577	76	2	1	Y
843	55	2	1	Y
14827	30	2	1	Y
5492	59	2	2	Y
15681	64	2	1	N
15530	51	2	1	N
7220	60	2	2	Y
15151	36	2	1	N
2133	63	2	1	Y
9519	65	2	2	Y
9916	76	2	2	N
19843	39	2	2	N
12382	53	2	1	Y
15845	67	2	1	N
2758	25	2	1	N
12736	70	2	2	N
19865	47	2	1	Y
133	32	2	1	N
7281	45	2	1	Y
17574	60	2	1	Y
10113	38	2	1	N
3715	20	2	2	N
11138	67	2	1	N
16092	51	2	1	N
15725	77	2	2	N
4744	31	2	1	N
10002	54	2	2	Y
6450	20	2	1	N
7298	51	2	1	Y
6408	77	2	1	Y
7806	36	2	1	Y
12100	66	2	2	Y
16757	32	2	1	Y
10024	50	2	1	N
11393	75	2	1	N
3506	32	2	2	N
13514	52	2	1	Y
4073	23	2	1	N
11071	75	2	1	Y
1874	34	2	2	Y
9804	69	2	1	N
10176	59	2	1	Y
1593	73	2	1	Y
13759	65	2	2	Y
11905	22	2	2	Y
13697	31	2	1	N
6467	51	2	1	Y
16777	67	2	1	N
15898	67	2	1	Y
5516	70	2	1	Y
14843	55	2	1	Y
19488	71	2	1	Y
13617	65	2	1	Y
6337	62	2	1	Y
15992	65	2	1	N
13069	64	2	2	Y
13090	60	2	1	N
9943	41	2	1	Y
18990	63	2	1	Y
12775	55	2	1	N
15428	69	2	2	N
12677	19	2	1	N
2426	49	2	1	N
11747	37	2	1	N
803	56	2	1	Y
528	59	2	2	Y
16514	59	2	2	Y
1372	71	2	1	N
15388	18	2	1	Y
3373	75	2	2	N
18756	44	2	2	N
17836	43	2	1	Y
17685	43	2	2	Y
1848	21	2	2	Y
17266	40	2	2	Y
12798	39	2	2	N
6761	54	2	1	N
584	59	2	2	Y
